web-scraper-order,web-scraper-start-url,product-url,product-url-href,product-description-short,product-name,product-price,product-size,product-flavour,product-img-src,product-description-long,product-nutrition-src,product-allergens-src,product-size-alternative,product-category
"1578226667-575","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/Riegel-%26-Snacks/N%C3%BCsse-%26-Samen/c/199","Raw Sonnenblumenkerne","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/Riegel-%26-Snacks/N%C3%BCsse-%26-Samen/Raw-Sonnenblumenkerne/p/raw-zonnebloempitten-terrasana","Raw Food","Raw Sonnenblumenkerne","3,90 €","750 gramm:","","https://media.bodyandfit.com/i/bodyandfit/raw-zonnebloempitten-terrasana_Image_01?layer0=$PLP_001$","Die Raw Sonnenblumenkerne von Terrasana sind biologisch angebaute Sonnenblumenkerne, die perfekt in eine Rawfood-Ernährungsweise passen. RAW Sonnenblumenkerne sind eine verantwortungsvolle Ergänzung zu Salat, Brot, Torte oder einfach so als Snack.","https://media.bodyandfit.com/i/bodyandfit/raw-zonnebloempitten-terrasana_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/raw-zonnebloempitten-terrasana_Label_de-de_01?layer0=$MAIN$","null","Nüsse & Samen"
"1578227591-999","https://www.bodyandfit.com/de-de/Produkte/Sportnahrung/Ausdauer/Isotonische-Getr%C3%A4nke/c/79","Isoactive Powerbar","https://www.bodyandfit.com/de-de/Produkte/Sportnahrung/Ausdauer/Isotonische-Getr%C3%A4nke/Isoactive-Powerbar/p/isoactive-powerbar","Ideal während des Trainings","Isoactive Powerbar","23,90 €","1320 gramm","Red Fruit Punch","https://media.bodyandfit.com/i/bodyandfit/isoactive-powerbar_Image_01?layer0=$PLP_001$","Isoactive lässt sich dank seiner Isotonzusammenstellung und einzigartigen Elektrolytmischung leicht nehmen. Für alle Sportler geeignet und frei von künstlichen Farb- und Geschmacksstoffen und Konservierungsmitteln.","https://media.bodyandfit.com/i/bodyandfit/isoactive-powerbar_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/isoactive-powerbar_Label_de-de_01?layer0=$MAIN$","null","Isotonische Getränke"
"1578224943-445","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/T%C3%A4glicher-Bedarf/Gew%C3%BCrze-%26-Saucen/c/242","Salat Dressing","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/T%C3%A4glicher-Bedarf/Gew%C3%BCrze-%26-Saucen/Salat-Dressing/p/salade-dressing","Leckere Varianten","Salat Dressing","4,20 €","null","Thousand island","https://media.bodyandfit.com/i/bodyandfit/salade-dressing_Image_01?layer0=$PLP_001$","Die Walden Farms Salatdressings sind ideal für jede Diät. Frei von Fetten, Cholesterin und Kohlenhydraten, ohne, dass beim vollen, reichhaltigen, natürlichen Geschmack eingespart wird, den die herrlichen Kräuter diesem Dressing verleihen. Genau der richtige Touch des weltweit am besten gereiften Essigs, frisch gemahlener Kräuter und Gewürze. Dreifach gefiltertes Wasser und natürliche Aromen machen diese Honey Salatdressings sehr lecker.","https://media.bodyandfit.com/i/bodyandfit/salade-dressing_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/salade-dressing_Label_de-de_01?layer0=$MAIN$","335 ml (11  dosierungen)","Gewürze & Soßen"
"1578227452-839","https://www.bodyandfit.com/de-de/Protein-bars/c/194","Low Calorie Bars","https://www.bodyandfit.com/de-de/Produkte/Abnehmen/Di%C3%A4tnahrung/Proteinreich/Low-Calorie-Bars/p/low-calorie-bar","Nur 205 Kalorien","Low Calorie Bars","6,80 €","null","Coconut","https://media.bodyandfit.com/i/bodyandfit/low-calorie-bar_Image_01?layer0=$PLP_001$","Mit Low Calorie Bar kannst du eine oder mehrere Mahlzeiten pro Tag ersetzen. Für jeden als Frühstück, Lunch, Abendessen oder welche Gelgenehit auch immer perfekt. Ideal während jeder Diät oder wenn du in Eile bist. Ein Mahlzeitersatz muss bestimmte Kriterien erfüllen, so muss er beispielsweise mindestens 25 % Eiweiß enthalten. Unser Low Calorie Bar enthält ganze 42 % Eiweiß. Proteine sorgen für stärkere Muskeln und unterstützen die Erholung der Muskeln nach dem Training. Zudem enthalten Mahlzeitersätze mindestens 30 % der Referenzmenge an Vitaminen und Mineralien von A bis Z. Das hinzugefügte Vitamin C trägt zur Verringerung von Müdigkeit und Erschöpfung bei und fördert den Energiestoffwechsel.","https://media.bodyandfit.com/i/bodyandfit/low-calorie-bar_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/low-calorie-bar_Label_de-de_01?layer0=$MAIN$","720 gramm (12  riegel)","Proteinriegel"
"1578227244-662","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/Riegel-%26-Snacks/Cookies-%26-Muffins/c/196","Smart Protein Cookies","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/Riegel-%26-Snacks/Cookies-%26-Muffins/Smart-Protein-Cookies/p/smart-protein-cookies-kant-en-klaar","2 Proteinkekse: 4,2 g hochwertiges Eiweiß und nur 79 kcal","Smart Protein Cookies","2,50 €","null","Almonds","https://media.bodyandfit.com/i/bodyandfit/smart-protein-cookies-kant-en-klaar_Image_01?layer0=$PLP_001$","Smart Protein Cookies sind zuckerarme Proteinkekse mit nur 79 kcal, 0,2 g Zucker und ganzen 4,2 g hochwertigem Eiweiß pro 2 Stück. 21 Smart Protein Cookies pro Packung. Für jeden in jedem Moment ideal, während einer Low Carb- oder Eiweißdiät, für ambitionierte Sportler oder wenn du einfach bewusst über deine Ernährung nachdenkst. In wahnsinnig leckeren Sorten wie Kakaonibs, Original, Mandel, Apfel-Zimt und Coconut.","https://media.bodyandfit.com/i/bodyandfit/smart-protein-cookies-kant-en-klaar_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/smart-protein-cookies-kant-en-klaar_Label_de-de_01?layer0=$MAIN$","1 packung (21  kekse)","Cookies & Muffins"
"1578228269-1537","https://www.bodyandfit.com/de-de/Produkte/Protein/Protein-Snacks/Protein-Drinks/c/35","Smart Protein Drinks","https://www.bodyandfit.com/de-de/Produkte/Protein/Protein-Snacks/Protein-Drinks/Smart-Protein-Drinks/p/smart-protein-drinks","16 Gramm der besten Proteine","Smart Protein Drinks","4,20 €","null","Vanilla","https://media.bodyandfit.com/i/bodyandfit/smart-protein-drinks_Image_01?layer0=$PLP_001$","„Das Prinzip einer Low Carb- Eiweißdiät liegt darin, die tägliche Kalorien- und Kohlenhydrateinnahme zu reduzieren und die Proteineinnahme zu erhöhen. Aber damit nicht genug, Proteine unterstützen zudem stärkere Muskeln, den Erhalt von Muskelmasse und deren Erholung.“

16 g hochwertiges Eiweiß, 0 zugefügter Zucker und nur 99 kcal! Smart Protein Drink enthält pro voller Flasche ganze 2,9 g Kohlenhydrate. Smart Protein Drinks sind einzigartig: Sie enthalten die hochwertigen Proteine aber nicht die Kohlenhydrate, überschüssigen Kalorien oder zugefügten Zucker! Für jeden und bei jeder Gelegenheit ideal, während einer Low Carb-Proteindiät, für ambitionierte Sportler oder wenn du bewusst auf deine Ernährung achtest.","https://media.bodyandfit.com/i/bodyandfit/smart-protein-drinks_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/smart-protein-drinks_Label_de-de_01?layer0=$MAIN$","1500 ml (6  stück)","Protein-Drinks"
"1578225556-495","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/T%C3%A4glicher-Bedarf/Pasta%2C-Reis-%26-Co-/c/240","Smart Pasta","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/T%C3%A4glicher-Bedarf/Pasta%2C-Reis-%26-Co-/Smart-Pasta/p/smart-pasta-body-en-fit","Nur 7-9 kcal pro 100 Gramm","Smart Pasta","1,10 €","null","Lasagna","https://media.bodyandfit.com/i/bodyandfit/smart-pasta-body-en-fit_Image_01?layer0=$PLP_001$&layer1=[src=/i/bodyandfit/roundle-new-2019]&layer1=$BADGE_S$","Smart Pasta ist ein perfekter Ersatz für deine „normale“ Portion Nudeln. Willst du abnehmen und findest es schwierig deine Kohlenhydrate zu verringern? Unsere Smart Pastas bieten eine Lösung. Schmeckt beispielsweise mit Huhn und frischem Gemüse besonders gut. Check für die leckersten Rezepte unser kostenloses Rezeptbuch.","https://media.bodyandfit.com/i/bodyandfit/smart-pasta-body-en-fit_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/smart-pasta-body-en-fit_Label_de-de_01?layer0=$MAIN$","275 gramm","Pasta, Reis & Co"
"1578228691-2111","https://www.bodyandfit.com/de-de/Produkte/Protein/Milchproteine/Whey-Protein/c/3","GOLD STANDARD 100% WHEY PROTEIN","https://www.bodyandfit.com/de-de/Produkte/Protein/Milchproteine/Whey-Protein/GOLD-STANDARD-100%25-WHEY-PROTEIN/p/gold-standard-100-whey-protein","Exklusiver Whey Blend","GOLD STANDARD 100% WHEY PROTEIN","22,90 €","908 gramm","Double Rich Chocolate","https://media.bodyandfit.com/i/bodyandfit/gold-standard-100-whey-protein_Image_01?layer0=$PLP_001$","Um dir als Sportler/Bodybuilder mehr von dem zu geben was du willst und nicht das was du nicht willst! (Fett, Cholesterin, Laktose und Kohlenhydrate)
Gold Standard Whey Protein enthält mehr HYDROWHEY: strategisch hydrolysierte Peptide mit niedrigem Molekulargewicht, um 100% WHEY noch schneller wirken zu lassen.
Höherer Proteinanteil: 100% WHEY war in dieser Hinsicht mit 23 Gramm reinem Eiweiß pro Portion schon immer tonangebend.","https://media.bodyandfit.com/i/bodyandfit/gold-standard-100-whey-protein_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/gold-standard-100-whey-protein_Label_de-de_01?layer0=$MAIN$","null","Whey Protein"
"1578224501-383","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/T%C3%A4glicher-Bedarf/Aromen-und-Sussstoffe/c/244","Natural Flavouring","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/T%C3%A4glicher-Bedarf/Aromen-und-Sussstoffe/Natural-Flavouring/p/natural-flavouring","Nur 3 Tropfen pro Glas","Natural Flavouring","3,50 €","null","Neutral","https://media.bodyandfit.com/i/bodyandfit/natural-flavouring_Image_01?layer0=$PLP_001$","Tipp: Bestell dir die frischen Sommersorten Strawberry, Cola und Apple mit zusätzlichem Rabatt. Unglaublich lecker!","https://media.bodyandfit.com/i/bodyandfit/natural-flavouring_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/natural-flavouring_Label_de-de_01?layer0=$MAIN$","50 ml (333  dosierungen)","Aromen & Süßstoffe"
"1578228435-1723","https://www.bodyandfit.com/de-de/Produkte/Protein/Milchproteine/Milchprotein-Mischung/c/6","Fusion Pro","https://www.bodyandfit.com/de-de/Produkte/Protein/Milchproteine/Milchprotein-Mischung/Fusion-Pro/p/fusion-pro","Die gescheiteste Proteinshake, sowohl langsame als auch schnelle Resorption.","Fusion Pro","39,90 €","1814 gramm","White Chocolate & Raspberry Ice Cream","https://media.bodyandfit.com/i/bodyandfit/fusion-pro_Image_01?layer0=$PLP_001$","Whey Proteinkonzentrat – für eine schnelle Resorption
Milk Proteinkonzentrat (Casein) - für Time-Release-Wirkung.","https://media.bodyandfit.com/i/bodyandfit/fusion-pro_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/fusion-pro_Label_de-de_01?layer0=$MAIN$","null","Milchprotein Mischungen"
