web-scraper-order,web-scraper-start-url,product-category,pagination,pagination-href,product-url,product-url-href,product-img-src,product-description-long,product-nutrition,product-allergens,product-size,product-flavour,product-price,product-name,category-link,category-link-href
"1578069333-1941","https://www.fitmart.de/Eiweisspulver/","Eiweißpulver","","","Details","https://www.fitmart.de/Eiweisspulver/Casein-Protein/Body-Attack-100-Casein-Protein-1800g.html","https://www.fitmart.de/out/pictures/generated/product/1/340_400_100/sol_ba_100caseinn_1.jpg","100% Casein Protein von Body Attack   besteht aus aus 100% micellaren Milchprotein (Mizellares Calcium Caseinat). Das micellare Casein wird aufgrund seiner Proteinstruktur vom Körper extrem langsam verdaut, was durch die Verklumpung und Gelbildung der Proteine im Magen-Darmtrakt ausgelöst wird. Dadurch können die Aminosäuren des Body Attack Caseins nur langsam ins Blut freigesetzt werden, da die Enzyme mehr Zeit für die Proteinaufspaltung benötigen.   Die Verdauungszeit kann bis zu 8 Stunden andauern und ermöglicht den Muskeln somit eine langanhaltende und konstante Aminosäureversorgung. Deshalb ist das Body Attack 100% Casein das perfekte Night-Time-Protein, Diät-Protein und Pre-Workout-Protein für den Muskelzuwachs und den Muskelschutz.","Nährwerte Vanilla Cream pro 30 g Pulver pro 100 g Pulver   Brennwerte 478 kJ / 113 kcal 1597 kJ / 376 kcal   Fett 0,3 g 1,0 g   davon gesättigte Fettsäuren 0,2 g 0,6 g   Kohlenhydrate 0,9 g 3,1 g   davon Zucker 0,3 g 1,0 g   Protein 27,0 g 89,0 g   Calcium 459 mg 1530 mg   Laktose 0,2 g 0,6 g   BCAA 5,5 g 18,2 g   L-Glutamin 5,4 g 18,0 g   
   Aminosäurenbilanz pro 100 g Pulver   Alanin/alanine 2,82 g   Arginin/arginine 3,43 g   Asparaginsäure/aspartic acid 6,66 g   Cystin/cysteine 0,42 g   Glutaminsäure/glutamic acid 20,38 g   Glycin/glycine 1,74 g   Histidin/histidine 2,80 g   Isoleucin/isoleucine (BCAA) 5,11 g   Leucin/leucine (BCAA) 8,94 g   Lysin/lysine 7,47 g   Methionin/methionine 2,69 g   Phenylalanin/phenlyalanine 4,84 g   Prolin/proline 10,07 g   Serin/serine 5,55 g   Threonin/threonine 4,52 g   Tryptophan/tryptophan 2,54 g   Tyrosin/tyrosine 3,52 g   Valin/valine (BCAA) 6,49 g","Calcium Caseinat-Mischung (94,7%) (Calcium Caseinat (85,7%), mizellares Casein (9%)), Aroma, Speisesalz, Verdickungsmittel (Xanthan, Natriumcarboxymethylcellulose, Carrageen), Süßungsmittel (Sucralose, Acesulfam K), Calciumphosphat, Farbstoff (Beta-Carotin).","1800g","Banana Cream","44,90 €","Body Attack 100% Casein Protein, 1800g","Casein Protein","https://www.fitmart.de/Eiweisspulver/Casein-Protein/"
"1578066721-633","https://www.fitmart.de/Low-Carb/","Low Carb","","","Details","https://www.fitmart.de/Low-Carb/Flavour-System/ESN-Flavor-Drops-50ml.html","https://www.fitmart.de/out/pictures/generated/product/1/340_400_100/sol_shopbild_drops_bloodorange_1.jpg","Flavor Drops von ESN (Elite Sports Nutrients - Made in Germany) 
 ist ein flüssiges Aromasystem mit einem hervorragenden Geschmack. Flavor Drops enthalten keine Kalorien und sind für alle Trainingsziele geeignet, vor allem in Diätphasen. 
 Flavor Drops gibt es in verschiedenen köstlichen Geschmacksrichtungen, bereits wenige Tropfen verfeinern deinen Protein Shake, Quark, Joghurt, Müsli, Porridge und Getränke. Mit der praktischen Pipette kannst du genau dosieren, ob zu Hause, auf der Arbeit oder unterwegs. 
 ESN Flavor Drops bestehen aus sehr hochwertigen und einzigartigen Aromen. Das Produkt wird nach eigenen Rezepturen exklusiv hergestellt und ist in keinem anderen Produkt dieser Art auf dem Markt vorhanden. 
 Die verwendeten Rohstoffe stammen von den besten Rohstoffherstellern. Wir legen großen Wert auf eine gleichbleibende und hervorragende Qualität unserer Rohstoffe. ESN Flavor Drops werden in Deutschland nach höchstem Standard produziert.","null","Aroma, Süßungsmittel (Sucralose).","1 Flasche","Blood Orange","6,90 €","ESN Flavor Drops, 50ml","Flavour System","https://www.fitmart.de/Low-Carb/Flavour-System/"
"1578066436-495","https://www.fitmart.de/Low-Carb/","Low Carb","","","Details","https://www.fitmart.de/Low-Carb/Low-Carb-Riegel/ISS-Oh-Yeah-Protein-Bar-1-Riegel-85g.html","https://www.fitmart.de/out/pictures/generated/product/1/340_400_100/sol_iss_ohyeah_candies_1.jpg","Oh Yeah Protein Bar von ISS   enthält einen hochwertigen Protein Blend, ist Low Carb und Low Fat. ISS Oh Yeah Protein Bar ist einer der leckersten Protein Riegel auf dem Markt. ISS Oh Yeah Protein Bar eignet sich ideal für unterwegs und zu jeder Zeit.   ISS Oh Yeah Protein Bar kann zudem als Süßigkeitenersatz oder als proteinreiche Zwischenmahlzeit verzehrt werden. ISS Oh Yeah Protein Bar schmeckt super lecker und ist sehr beliebt bei Sportlern aller Klassen.","Nährwerte Almond Fudge Brownie  pro 85 g Riegel   Calories (kcal)  350   Calories from Fat  120   Total Fat  13 g   Saturated Fat  5,0 g   Trans Fat  0 g   Polyunsaturated Fat  2,0 g   Monounsaturated Fat  3,0 g   Cholesterol  5,0 mg   Sodium  90 mg   Total Carbohydrate  27 g   Dietary Fiber  4,0 g   Sugars  8,0 g   Sugar Alcohol  13 g   Protein   30 g   Vitamin A  0%   Vitamin C  0%   Calcium  15%   Iron  10%   Phosphorus  20%","Protein-Mischung (Mischung aus Molkenproteinisolat, Sojaproteinisolat, Milchproteinisolat, Milchproteinkonzentrat, Kalziumkaseinat), hydrolysierte Gelatine], Schokoladenüberzug (Schokoladenlikör, Maltit, Kakaobutter, Natriumkaseinat, Milchfett, Sojalezithin (ein Emulgator), Sucralose, Vanillin, Vanille, Salz], Mandeln, Sojanüsse, Schokoladenkaramell[Maissirup, Zucker, Sahne, Wasser, Kakao, Fructose, Palmöl, Sojalezithin, Salz, Dinatriumphosphat, natürliches Aroma und Carrageen], Glycerin, Kakaopulver, fraktioniertes Palmkernöl, Sojalezithin, Salz, Sucralose und Kaliumsorbat als Konservierungsmittel.","1 Riegel","Chocolate-Caramel-Candies","2,79 €","ISS Oh Yeah Protein Bar, 1 Riegel, 85g","Low Carb Riegel","https://www.fitmart.de/Low-Carb/Low-Carb-Riegel/"
"1578068788-1726","https://www.fitmart.de/Eiweissriegel/","Eiweißriegel","","","Details","https://www.fitmart.de/Eiweissriegel/Proteinriegel/Weider-32-Protein-Bar-1-Riegel-60g.html","https://www.fitmart.de/out/pictures/generated/product/1/340_400_100/sol_weider_32bar_neu_1.jpg","32% Protein Bar von Weider 
 ist ein beliebter und hochwertiger 60g Protein Riegel. Weider 32% Protein Bar enthält wertvolles Milcheiweiß für den Muskelaufbau und liefert Energie aus Kohlenhydraten. 
 Weider 32% Protein Bar schmeckt sehr lecker und ist ideal als proteinreiche Zwischenmahlzeit oder auch als Süßigkeitenersatz. Probieren Sie die zahlreichen Geschmacksrichtungen!","Nährwerte Blueberry Muffin

pro 60 g Riegel 

Brennwerte

1011 kJ / 240 kcal 

Fett

5,9 g 

davon gesättigte Fettsäuren

3,8 g 

Kohlenhydrate

27 g 

davon Zucker

17 g 

Protein

19 g 

Salz

0,17 g","Milcheiweiß, Glukosesirup, 20% Vollmilchschokolade (Zucker, Kakaobutter, Vollmilchpulver, Kakaomasse, Emulgator: Soja-Lecithine; Aroma), Fruktosesirup, Kollagenhydrolysat, Palmfett, Dextrose, Heidelbeerpulver, Säuerungsmittel: Citronensäure; Aroma, Eiklarpulver, Farbstoffe: E120, E131.","1 Riegel","Cookies and Cream","1,59 €","Weider 32% Protein Bar, 1 Riegel, 60g","Proteinriegel","https://www.fitmart.de/Eiweissriegel/Proteinriegel/"
"1578067102-899","https://www.fitmart.de/Naehrstofftiming/","Nährstofftiming","3","https://www.fitmart.de/Naehrstofftiming/Pre-Workout/3/#bb_artlist","Details","https://www.fitmart.de/Naehrstofftiming/Pre-Workout/BSN-No-Xplode-3-0-1000g.html","https://www.fitmart.de/out/pictures/generated/product/1/340_400_100/sol_bsn_noxplode3.0_3_1.jpg","No-Xplode 3.0 von BSN   ist ein sehr hochwertiges und innovatives Pre-Workout und Pump Supplement. BSN No-Xplode 3.0 enthält unter anderem L-Arginin, Beta-Alanin, Creatin, Koffein und N-Acetyl-L-Tyrosin. BSN No-Xplode 3.0 ist vor allem für Bodybuilder und Kraftsportler interessant. BSN No-Xplode 3.0 kann im harten Muskeltraining den mentalen Fokus erhöhen und den Muskelpump verstärken. BSN No-Xplode 3.0 ist ein beliebter Booster unter vielen ambitionierten Sportlern.","Nährwerte Fruit Punch  pro 20 g Pulver pro 40 g Pulver   Brennwerte 132 kJ / 31,5 kcal 264 kJ / 63 kcal   L-Arginin 3000 mg 6000 mg   L-Lysin 950 mg 1900 mg   Glycin 500 mg 1000 mg   N-Acetyl-L-Tyrosin 500 mg 1000 mg   Taurin 500 mg 1000 mg   L-Phenylalanin 80 mg 160 mg   Creatin Monohydrat 1500 mg 3000 mg   Beta-Alanin 1300 mg 2600 mg   Inositol 950 mg 1900 mg   Cholin 200 mg 400 mg   Betain 750 mg 1500 mg   Koffein 150 mg 300 mg   Grapefruit-Bioflavonoide 25 mg 50 mg   Traubenkernextrakt 45 mg 90 mg   Indisches Stachelbeeren-Extrakt 37,5 mg 75 mg   Schwarzer Pfeffer-Extrakt 5 mg 10 mg   
   Vitamine & Mineralien pro 20 g Pulver pro 40 g Pulver   Vitamin C 75 mg 150 mg   Vitamin D 2,3 µg 4,6 µg   Vitamin B1 1,75 µg 3,5 µg   Niacin 7 mg 14 mg   Vitamin B6 1,75 mg 3,5 mg   Folsäure 168 µg 336 µg   Vitamin B12 1,05 µg 2,1 µg   Pantothensäure 5,5 mg 11 mg   Magnesium 123,5 mg 247 mg","Aminosäuren (L-Arginin, L-Lysinhydrochlorid, L-Glycin, N-Acetyl-L-Tyrosin, Taurin, L-Phenylalanin), Säureregulatoren (Citronensäure, Apfelsäure, Natriumhydrogencarbonat, Weinsäure, Kaliumhydrogencarbonat), Aroma, Kreatin-Monohydrat, Beta-Alanin als Carnosin, Inositol, Betain, Cholinbitartrat, Farbstoff (Betenrot), Stabilisatoren (Dicalciumphosphat, Dinatriumphosphat), Magnesiumoxid, Koffein, Trennmittel (Siliciumdioxid), Vitamine (L-Ascorbinsäure, Calcium-D-pantothenat, Nicotinamid, Thiaminhydrochlorid, Pyridoxinhydrochlorid, Pteroylmonoglutaminsäure, Cyanocoalamin, Cholecalciferol), Grapefruit-Bioflavonoid-Komplex, Süßungsmitteln (Sucralose, Acesulfam-K), Traubenkernextrakt (Vitis vinifera, Kern), Capros Indisches Stachelbeeren-Extrakt (Phyllanthus emblica, Frucht), Schwarzer Pfeffer-Extrakt (Piper nigrum, Frucht).","1000g","Green Apple","39,90 €","BSN No-Xplode 3.0, 1000g","Pre-Workout","https://www.fitmart.de/Naehrstofftiming/Pre-Workout/"
"1578067546-1135","https://www.fitmart.de/Trainingsbooster/","Trainingsbooster","2","https://www.fitmart.de/Trainingsbooster/Pre-Workout-Booster/2/#bb_artlist","Details","https://www.fitmart.de/Trainingsbooster/Pre-Workout-Booster/Peak-Epic-Pump-500g.html","https://www.fitmart.de/out/pictures/generated/product/1/340_400_100/sol_peak_epicpump_1.jpg","Epic Pump von Peak 
 . 
 Ein hochdosierter Booster mit breiter Zusammensetzung. Neben L-Citrullin Malate ist auch das bekannteste Pump-Produkt – Arginin - in hoher Dosierung enthalten. Der nitratreiche Rote-Beete-Extrakt, sowie Taurin runden die Formel perfekt ab. 
 Der Hersteller bezeichnet das Produkt selbst als kompromisslosen Booster und alleine die Höhe der Portion von 16gr und die sinnhafte Zusammensetzung bestätigen die Aussage. Dem Booster ist kein Koffein zugesetzt, somit ist er auch sehr gut am Abend einsetzbar.","Nährwerte

pro Portion 25 g Pulver 

L-Citrullin-Malat

8000 mg 

L-Arginin-Alphaketoglutarat

6000 mg 

Taurin

4000 mg 

L-Arginin-Nitrat

2000 mg 

Rote-Bete-Saft-Extrakt

1000 mg","L-Citrullin-Malat, L-Arginin-Alphaketoglutarat, Taurin, L-Arginin-Nitrat, Trennmittel: Calciumsalze der Orthophosphorsäure, Rote-Bete-Saft-Extrakt, Aroma, Süßungsmittel (Sucralose, Acesulfam-K). Information: Ein eventuelles Verklumpen/Verhärten des Pulvers ist der Zusammensetzung der hoch dosierten Inhaltsstoffe geschuldet und kein Zeichen von minderer Qualität. Es tut der Wirkung keinerlei Abbruch und kann bei einer solch hohen Dosierung leider nicht vermieden werden.","500g","Energy","29,90 €","Peak Epic Pump, 500g","Pre-Workout Booster","https://www.fitmart.de/Trainingsbooster/Pre-Workout-Booster/"
"1578067003-831","https://www.fitmart.de/Naehrstofftiming/","Nährstofftiming","","","Details","https://www.fitmart.de/Naehrstofftiming/Intra-Workout/Peak-EAAs-TS-Technology-500g.html","https://www.fitmart.de/out/pictures/generated/product/1/340_400_100/sol_peak_eaatst2_1.jpg","EAAs TS-Technology von Peak   ist ein sehr hochwertiges Aminosäuren Supplement. Peak EAAs TS-Technology besteht aus essentiellen Aminosäuren (EAAs), welche die Muskelproteinsynthese stimmulieren und effektiv für den Aufbau neuer Muskelmasse sind. Peak EAAs TS-Technology sind vor allem für Bodybuilder, Kraftsportler und Powerlifter geeignet.   Hersteller-Informationen:   Die essentiellen Aminosäuren (EAAs) in TST-Form bestehen aus allen 8 lebenswichtigen Aminosäuren sowie zusätzlich der nicht essentiellen Aminosäure L-Tyrosin. Peak EAAs TST werden mittels eines revolutionären Herstellungsverfahrens gewonnen und sind durch eine einzigartig schnelle und vollständige Löslichkeit in Wasser gekennzeichnet. Damit können die Peak EAAs TST bereits 10 Minuten nach dem Verzehr des wohlschmeckenden Aminosäuren-Drinks vollständig das Blut bzw. das extrazellulären Gewebe erreichen, wo sie besonders effektiv ihre Muskelaufbaufunktionen als Initiatoren der Muskelproteinsynthese und Muskelbaustoff erfüllen.Zur besseren Assimilation bzw. Verwertung der Aminosäuren sind die Peak EAAs TST mit einem Vitamin B-Komplex optimiert.","Nährwerte  pro Portion 14 g Pulver   Niacin  2,4 mg   Vitamin B6  0,21 mg   Vitamin B12  0,38 mg   
   Essentielle Aminosäuren pro Portion 14 g Pulver   L-Leucin  2600 mg   L-Lysin  1500 mg   L-Methionin  520 mg   L-Threonin  750 mg   L-Isoleucin  1300 mg   L-Valin 1300 mg   L-Phenylalanin  1250 mg   L-Tryptophan 250 mg   L-Tyrosin 250 mg   L-Histidin 500 mg   L-Cystein 205 mg","L-Leucin (18,8%), Säuerungsmittel (Citronensäure, Apfelsäure), L-Lysin-Hydrochlorid (13,4%), L-Isoleucin (9,4%), L-Valin (9,4%), L-Phenylalanin (9%), L-Threonin (5,4%), L-Histidin-Hydrochlorid (4,5%), L-Methionin (3,8%), Aroma, L-Tryptophan (1,8%), L-Tyrosin (1,8%), Säureregulator: Kaliumcitrat, L-Cystein (1,5%), Süßungsmittel (Sucralose, Acesulfam-K), Emulgator: SOJAlecithine, Farbstoff: Rote Bete Pulver, Nicotinamid, Pyridoxinhydrochlorid, Cyanocobalamin.","500g","Mango Melone","26,90 €","Peak EAAs TS-Technology, 500g","Intra-Workout","https://www.fitmart.de/Naehrstofftiming/Intra-Workout/"
"1578065230-56","https://www.fitmart.de/Vitalstoffe/","Vitalstoffe","2","https://www.fitmart.de/Vitalstoffe/Antioxidantien/2/#bb_artlist","Details","https://www.fitmart.de/Vitalstoffe/Antioxidantien/Scitec-Nutrition-Fibers-and-Enzymes-RX-255g.html","https://www.fitmart.de/out/pictures/generated/product/1/340_400_100/sol_scitec_fibers_1.jpg","Fibers and Enzymes RX von Scitec Nutrition 
 besteht aus hochwertigen Makronährstoffen - wie z.B. aus Gerstenfasern, Bambusfasern, Weizenfasern, Haferfasern und Apfelfasern. Das Produkt ist reich an Beta-Glucan und kann das Immunsystem positiv unterstützen. 
 Außerdem sind Himbeer-Ketone und ein Verdauungsenzym aus Papain und Bromelain enthalten. Scitec Fibers and Enzymes RX ist für ambitionierte Sportler geeignet, die ihren Körper vor oxidativem Stress schützen und die Verdauung unterstützen möchten.","Nährwerte

pro Portion 8,5 g Pulver 

Brennwerte

44 kJ / 11 kcal 

Fett

<0,5 g 

davon gesättigte Fettsäuren

0 g 

Kohlenhydrate

0,2 g 

davon Zucker

0 g 

Ballaststoffe

5 g 

Protein

0,8 g 

Salz

0 g 

Vitamin C (L-Ascorbinsäure)

500 mg 

Fasermischung*

7350 mg 

Himbeerextrakt

450 mg 

davon Keton

22,5 mg 

Verdauungsenzymmischung

200 mg 

davon Papain

100 mg 

davon Bromelain

100 mg","Gerstenfasern (4350 mg) davon Beta-glucan 1000 mg], Inulin (1000 mg), Bambusfasern (500 mg), Haferfasern (500 mg), Weizenfasern (500 mg), Apfelfasern (500 mg)","255g","null","14,90 €","Scitec Nutrition Fibers and Enzymes RX, 255g","Antioxidantien","https://www.fitmart.de/Vitalstoffe/Antioxidantien/"
"1578069397-1982","https://www.fitmart.de/Eiweisspulver/","Eiweißpulver","3","https://www.fitmart.de/Eiweisspulver/Whey-Protein/3/#bb_artlist","Details","https://www.fitmart.de/Eiweisspulver/Whey-Protein/Dymatize-ISO-100-Hydrolyzed-Whey-Isolate-2200g.html","https://www.fitmart.de/out/pictures/generated/product/1/340_400_100/sol_dymatize_iso100neu_1.jpg","ISO 100 Hydrolyzed Whey Isolate von Dymatize   besteht aus hochwertigem hydrolysiertem Whey Protein Isolat. Das Produkt besitzt eine sehr schnelle Absorptionsrate (das Protein wird sehr schnell vom Körper aufgenommen). Diese Eigenschaft ist gerade nach dem Training wichtig, damit den Muskeln wichtige Aminosäuren für den Aufbau zu Verfügung stehen. ISO 100 löst sich sehr gut auf und schmeckt hervorragend.","Nährwerte Gourmet Vanilla pro Portion 30 g Pulver pro 100 g Pulver   Brennwerte 467 kJ / 110 kcal 1555 kJ / 366 kcal   Fett 0,1 g 0,4 g   davon gesättigte Fettsäuren 0,1 g 0,2 g   Kohlenhydrate 2,3 g 7,6 g   davon Zucker 0,5 g 1,6 g   Protein 25 g 82 g   Salz 0,26 g 0,85 g   
   Aminosäurenbilanz pro 100 g Pulver   Alanin/alanine 4,2 g   Arginin/arginine 2,0 g   Asparaginsäure/aspartic acid 8,9 g   Cystin/cysteine 1,8 g   Glutaminsäure/glutamic acid 15 g   Glycin/glycine 1,3 g   Histidin/histidine 1,4 g   Isoleucin/isoleucine (BCAA) 5,0 g   Leucin/leucine (BCAA) 8,9 g   Lysin/lysine 7,9 g   Methionin/methionine 1,9 g   Phenylalanin/phenlyalanine 2,6 g   Prolin/proline 4,7 g   Serin/serine 4,0 g   Threonin/threonine 5,7 g   Tryptophan/tryptophan 1,3 g   Tyrosin/tyrosine 2,3 g   Valin/valine (BCAA) 4,9 g","Hydrolysiertes Molkenproteinisolat (Milch) (50%), Molkenproteinisolat (Milch) (46%), Emulgator (Sonnenblumenlecithine, Sojalecithine), Aroma, Salz, Süßungsmittel (Sucralose, Steviolglycoside), Schaumverhüter (Dimethylpolysiloxan).","2200g","Fudge Brownie","62,90 €","Dymatize ISO 100 Hydrolyzed Whey Isolate, 2200g","Whey Protein","https://www.fitmart.de/Eiweisspulver/Whey-Protein/"
"1578067331-1015","https://www.fitmart.de/Trainingsbooster/","Trainingsbooster","","","Details","https://www.fitmart.de/Trainingsbooster/Booster-ohne-Creatin/Peak-Speed-Serum-300g.html","https://www.fitmart.de/out/pictures/generated/product/1/340_400_100/sol_peak_speedserum2_1.jpg","Speed Serum von Peak   ist ein hochwertiges Energie Supplement. Peak Speed Serum besteht aus einer innovativen und durchdachten Zusammensetzung. Peak Speed Serum kann den Stoffwechsel unterstützend anregen, die Fettverbrennung unterstützen beim Sport und die Motivation in Workouts erhöhen. Peak Speed Serum kann man als eines der besten Supplements dieser Machart bezeichnen.","Nährwerte  pro Portion 10 g Pulver   Vitamin C  20 mg   Niacin  4,0 mg   Vitamin B6  0,35 mg   Vitamin B12  0,63 µg   Magnesium  60 mg   L-Leucin (BCAA)  2000 mg   L-Isoleucin (BCAA)  1000 mg   L-Valin (BCAA)  1000 mg   Taurine  1000 mg   L-Carnitin  500 mg   D-Glucuronolacton  500 mg   Koffein  200 mg   Garcinia Cambogia  100 mg   Grüntee-Extrakt  100 mg   Guarana-Extrakt  100 mg   Ginseng-Extrakt  100 mg   Cholin  50 mg   Inositol  50 mg   Ingwer-Extrakt  10 mg","L-Leucin, Säuerungsmittel: Citronensäure und Apfelsäure, Aroma, L-Isoleucin, L-Valin, Taurin, D-Glucuronolacton, L-Carnitintartrat, Magnesiumsalze der Citronensäure, Koffein, Garcinia Cambogia Pulver (Fruchtrinde), Süßungsmittel: Sucralose, Grüntee-Extrakt (Blatt), Guarana-Extrakt (Frucht), Ginseng-Extrakt (Wurzel), Cholinbitartrat, L-Ascorbinsäure, Inositol, Nicotinamid, Ingwer-Extrakt (Rinde), Emulgator: SOJAlecithine, Farbstoff: Karmin-Extrakt, Pyridoxinhydrochlorid, Cyanocobalamin.","300g","Blueberry","19,90 €","Peak Speed Serum, 300g","Booster ohne Creatin","https://www.fitmart.de/Trainingsbooster/Booster-ohne-Creatin/"
