web-scraper-order,web-scraper-start-url,product-url,product-url-href,product-category,product-category-href,product-price,product-img-src,product-description-long,product-flavour,product-allergens-src,product-nutrition-src,product-name
"1577992053-2515,""https://www.rockanutrition.de/pages/supplements"","""",""https://www.rockanutrition.de/products/pink-power-magic-melon?lshst=collection"",""Pre-Workout"",""https://www.rockanutrition.de/collections/booster"",""€24,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/Artworks_PinkPower_MagicMelon_1024x1024.jpg?v=1554217752"",""Der leckerste Booster Deutschlands! PINK POWER liefert euch den nötigen Fokus und Pump für dein Workout bei sagenhaftem Geschmack!"",""Magic Melon"",""//cdn.shopify.com/s/files/1/0840/8847/products/NutritionFacts_PinkPower_MagicMelon_1024x1024.png?v=1554217752"",""//cdn.shopify.com/s/files/1/0840/8847/products/NutritionFacts_PinkPower_MagicMelon_1024x1024.png?v=1554217752"",""Pink Power   Magic Melon"""
"1577991255-2311,""https://www.rockanutrition.de/pages/proteine-collection"","""",""https://www.rockanutrition.de/products/rocka-whey-isolate-vanilla-ice-1kg-proteinpulver?lshst=collection"",""DLG-prämiert"",""https://www.rockanutrition.de/collections/dlg-gold"",""€34,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/Artworks_WPI_VanillaIce_pink_1kg_REDESIGN2_DLG2019_1024x1024.jpg?v=1562601380"",""Unser ROCKA WHEY ISOLATE versorgt dich mit hochwertigem Eiweiß, das innerhalb kürzester Zeit von deinem Körper aufgenommen werden kann. Das aufwendige Herstellungsverfahren isoliert das Eiweiß von überflüssigen Fetten und Kohlenhydraten. Somit ist ROCKA WHEY ISOLATE auch für eine kalorienreduzierte Diät geeignet."",""Vanilla Ice"",""//cdn.shopify.com/s/files/1/0840/8847/products/Bildschirmfoto_2019-02-15_um_16.10.22_1024x1024.png?v=1562601380"",""//cdn.shopify.com/s/files/1/0840/8847/products/Bildschirmfoto_2019-02-15_um_16.10.22_1024x1024.png?v=1562601380"",""Rocka Whey Isolate   Vanilla Ice"""
"1577992050-2514,""https://www.rockanutrition.de/pages/supplements"","""",""https://www.rockanutrition.de/products/over-the-top-cherry-cola?lshst=collection"",""Pre-Workout"",""https://www.rockanutrition.de/collections/booster"",""€29,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/Artworks_OverTheTop_-_CherryCola_1024x1024.jpg?v=1576834806"",""Hier ist der Name Programm! OVER THE TOP ist nicht nur der krasseste Booster von Rocka, sondern der heftigste Booster Deutschlands. OVER THE TOP kombiniert die besten Eigenschaften von Mind- & Pump-Boostern. Er ist hochdosiert und sorgt neben dem ultimativen Fokus & Steigerung der Performance für maximalen, langanhaltenden Pump."",""Cherry Cola"",""//cdn.shopify.com/s/files/1/0840/8847/products/NutritionFacts_OverTheTop_CherryCola_1024x1024.png?v=1576834806"",""//cdn.shopify.com/s/files/1/0840/8847/products/NutritionFacts_OverTheTop_CherryCola_1024x1024.png?v=1576834806"",""Over the Top   Cherry Cola"""
"1577991716-2429,""https://www.rockanutrition.de/pages/light-produkte"","""",""https://www.rockanutrition.de/products/light-tomato-ketchup-tomato?lshst=collection"",""Saucen & Gewürze"",""https://www.rockanutrition.de/collections/saucen-dips"",""€4,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/Artworks_LightKetchup_1024x1024.jpg?v=1561554625"",""Endlich kannst du deine Lieblingsgerichte mit dem leckeren LIGHT TOMATO KETCHUP genießen! Durch 80% weniger Kalorien als bei herkömmlichen Ketchup Saucen kannst du ganz ohne schlechtes Gewissen deine Gerichte mit dem fruchtigen LIGHT TOMATO KETCHUP verfeinern."",""Tomato"",""//cdn.shopify.com/s/files/1/0840/8847/products/Bildschirmfoto_2019-06-26_um_14.49.39_1024x1024.png?v=1561554635"",""//cdn.shopify.com/s/files/1/0840/8847/products/Bildschirmfoto_2019-06-26_um_14.49.39_1024x1024.png?v=1561554635"",""Light Tomato Ketchup   Tomato"""
"1577991584-2396,""https://www.rockanutrition.de/pages/light-produkte"","""",""https://www.rockanutrition.de/products/rockalicious-banana-joe-proteinriegel-12er-box"",""Proteinriegel"",""https://www.rockanutrition.de/collections/proteinriegel"",""€24,99 €27,48"",""//cdn.shopify.com/s/files/1/0840/8847/products/Rockalicious_Box_Shop_-_BANANA_JOE_77299673-2129-4e93-9933-086821aded1a_1024x1024.jpg?v=1509716065"",""Unser ROCKALICIOUS Banana Joe ist ein Premium-Proteinriegel und enthält satte 20 g Protein und 18 g Ballaststoffe pro Portion. Egal ob als Snack für zwischendurch oder als Ersatz für einen Protein-Shake, mit ROCKALICIOUS Banana Joe hast du den perfekten Begleiter für deinen Fitnesslifestyle immer griffbereit."",""Banana Joe"",""//cdn.shopify.com/s/files/1/0840/8847/products/Rockalicious_Banana_Joe_07bbc17b-63e5-4c2f-89c3-5fdbc7827a27_1024x1024.png?v=1509716112"",""//cdn.shopify.com/s/files/1/0840/8847/products/Rockalicious_Banana_Joe_07bbc17b-63e5-4c2f-89c3-5fdbc7827a27_1024x1024.png?v=1509716112"",""Rockalicious   Banana Joe"""
"1577991462-2368,""https://www.rockanutrition.de/pages/light-produkte"","""",""https://www.rockanutrition.de/products/light-chips-paprika-box"",""Light Chips"",""https://www.rockanutrition.de/collections/light-chips"",""€14,99 €15,92"",""//cdn.shopify.com/s/files/1/0840/8847/products/LightChips_8er_Direkt_Paprika_Artwork_1024x1024.jpg?v=1557558331"",""Der absolute Klassiker unter den Chips-Geschmäckern ist wohl ganz klar Paprika. Stehst auch du auf die leckere, aber leider fettige Snack-Sünde? Dann wirst du unsere LIGHT CHIPS Paprika lieben. Anders als vergleichbare Produkte enthalten sie 60% weniger Fett und pro Portion satte 13 g Protein. Zudem sind die zuckerarm, glutenfrei und lecker knusprig im Geschmack. Das macht sie zur perfekten Snack-Alternative in einer fitnessgerechten Ernährungsweise."",""Paprika"",""//cdn.shopify.com/s/files/1/0840/8847/products/NutritionFacts_LCPC_Paprika_1024x1024.png?v=1557558331"",""//cdn.shopify.com/s/files/1/0840/8847/products/NutritionFacts_LCPC_Paprika_1024x1024.png?v=1557558331"",""Light Chips   Paprika"""
"1577992038-2511,""https://www.rockanutrition.de/pages/supplements"","""",""https://www.rockanutrition.de/products/play-hard-pump-booster-orange?lshst=collection"",""Pre-Workout"",""https://www.rockanutrition.de/collections/booster"",""€24,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/PLAY_HARD_1024x1024.jpg?v=1509708999"",""Dein Trainingsplan steht und der eiserne Wille ein knallhartes Workout durchzuziehen ist prinzipiell auch da. Doch oftmals schaffst du es erst spät trainieren zu gehen, bist eigentlich schon viel zu ausgelaugt vom Tag. Was du jetzt brauchst, ist ein Boost, der dir den ultimativen Muskel-Pump garantiert und deine Leistungsfähigkeit unterstützt."",""Orange"",""//cdn.shopify.com/s/files/1/0840/8847/products/playhard_1024x1024.png?v=1509709006"",""//cdn.shopify.com/s/files/1/0840/8847/products/playhard_1024x1024.png?v=1509709006"",""Play Hard Pump Booster   Orange"""
"1577991852-2463,""https://www.rockanutrition.de/pages/light-produkte"","""",""https://www.rockanutrition.de/products/smacktastic-flav-powder-lemon-sorbet"",""Geschmackspulver"",""https://www.rockanutrition.de/collections/geschmackspulver"",""€15,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/Smacktastic-LemonSorbet_33de58b4-445c-471c-8cd1-c632518863d1_1024x1024.jpg?v=1509718520"",""SMACKTASTIC Lemon Sorbet erinnert an ein fruchtig-frisches Zitronen-Eis und hat absolute Gute-Laune-Garantie selbst an tristen Tagen. Unsere Geschmackspulver versüßen dir deinen Alltag und lassen selbst Magerquark, Haferflocken, den Kaffee am Morgen, Protein-Shakes oder cleane Backrezepte zum kulinarischen Genuss werden. Mit SMACKTASTIC sind deiner Kreativität keine Grenzen gesetzt."",""Lemon Sorbet"",""//cdn.shopify.com/s/files/1/0840/8847/products/Smacktastic-LemonSorbet_1024x1024.png?v=1509718529"",""//cdn.shopify.com/s/files/1/0840/8847/products/Smacktastic-LemonSorbet_1024x1024.png?v=1509718529"",""Smacktastic Flav Powder   Lemon Sorbet"""
"1577991694-2423,""https://www.rockanutrition.de/pages/light-produkte"","""",""https://www.rockanutrition.de/products/rocka-milk-shake-kiddy-schoko-tray?lshst=collection"",""Drinks"",""https://www.rockanutrition.de/collections/drinks"",""€32,99 €35,88"",""//cdn.shopify.com/s/files/1/0840/8847/products/RockaMilkshake_Schoko_12er_Artwork_1024x1024.jpg?v=1565591064"",""Du hast Lust auf einen Milchshake, möchtest aber keine Unmengen an Zucker und Fett aufnehmen? Dann hat Rocka mit dem ROCKA MILK SHAKE die Lösung. Mit überragendem Geschmack nach Milchschokolade versorgt er dich mit satten 30 g Protein."",""Kiddy Schoko"",""//cdn.shopify.com/s/files/1/0840/8847/products/Bildschirmfoto_2019-08-07_um_10.20.52_1024x1024.png?v=1565591064"",""//cdn.shopify.com/s/files/1/0840/8847/products/Bildschirmfoto_2019-08-07_um_10.20.52_1024x1024.png?v=1565591064"",""Rocka Milk Shake   Kiddy Schoko"""
"1577991997-2500,""https://www.rockanutrition.de/pages/supplements"","""",""https://www.rockanutrition.de/products/vitamin-d3-kapseln-120-stueck?lshst=collection"",""Vitamine & Minerale"",""https://www.rockanutrition.de/collections/vitamine-und-minerale"",""€16,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/Kapseln-Vitamin-D3-blue_1024x1024.jpg?v=1509720951"",""Vitamin D trägt zu einer normalen Funktion des Immunsystems und der Muskelfunktion bei und ist somit essentiell für deine Fitnessziele."",""Kapseln 120 Stück"",""//cdn.shopify.com/s/files/1/0840/8847/products/VitaminD3_Blau_1024x1024.png?v=1509720959"",""//cdn.shopify.com/s/files/1/0840/8847/products/VitaminD3_Blau_1024x1024.png?v=1509720959"",""Vitamin D3   Kapseln 120 Stück"""
