web-scraper-order,web-scraper-start-url,product-category,product-category-href,product-url,product-url-href,product-name,product-price,product-img-src,product-description-long-ul,product-allergens,product-size,product-nutrition,product-flavour
"1578500810-472","https://www.weidershop.de/","Proteine / Eiweiß","http://www.weidershop.de/Inhaltsstoffe/Proteine-Eiweiss/","Details","http://www.weidershop.de/Inhaltsstoffe/Proteine-Eiweiss/Weider-Whey-Coffee.html","Weider
 Whey Coffee","48,99","https://www.weidershop.de/out/pictures/generated/product/1/540_340_75/VWDWHYCFF_1.jpg","Pulver mit Instantkaffee zur Herstellung eines proteinreichen und 
koffeinhaltigen Getränkes.","Zutaten: Bitte wähle zuerst eine Variante.","500 g Standbeutel = 16 Portionen","Nährwertangaben","Größe Bitte auswählen"
"1578500735-453","https://www.weidershop.de/","Aminosäuren","http://www.weidershop.de/Inhaltsstoffe/Aminosaeuren/","Details","http://www.weidershop.de/Inhaltsstoffe/Aminosaeuren/Weider-Premium-BCAA-Powder.html","Weider
 Premium BCAA Powder Orange / 500 g Dose","36,99","https://www.weidershop.de/out/pictures/generated/product/1/540_340_75/7000031700_1.jpg","Nahrungsergänzungsmittel. Pulver zum Anrühren eines Getränkes mit 
  L-Leucin, L-Isoleucin, L-Valin und L-Glutamin","Zutaten (Allergene sind fett hervorgehoben): 
        	    	    30% L-Leucin, 15% L-Isoleucin, 15% L-Valin, 15% L-Glutamin, Maltodextrin, Säuerungsmittel: Citronensäure, Weinsäure; Aroma, Honig, Süßungsmittel: Acesulfam-K, Natriumcyclamat, Saccharin-Natrium, Sucralose; Trennmittel: Siliciumdioxid; Emulgator: Lecithine; Verdickungsmittel: Xanthan; Farbstoff: E110; Vitamin B6.

E110: Kann die Aktivität und Aufmerksamkeit bei Kindern beeinträchtigen.

Kann Spuren von Laktose, Gluten, Soja und Ei enthalten.","500 g Pulver = 50 Portionen 
  Kühl, trocken und dunkel lagern.","Nährwertangabenpro 10 g Pulver in 200 ml Wasser% NRVVitamin B60,35mg25pro 10 g Pulver in 200 ml Wasser% NRVL-Glutamin1500mg L-Isoleucin1500mg L-Leucin3000mg L-Valin1500mg % NRV = Prozentsatz der Referenzmengen für die tägliche Zufuhr eines Erwachsenen","Orange | 500 g Dose"
"1578500588-411","https://www.weidershop.de/","Riegel","http://www.weidershop.de/Riegel-Getraenke/Riegel/","Details","http://www.weidershop.de/Riegel-Getraenke/Riegel/Weider-32-Protein-Bar.html","Weider
 32% Protein Bar Kokos / 60 g Riegel","1,99","https://www.weidershop.de/out/pictures/generated/product/1/540_340_75/7000030907_1.jpg","Riegel mit Kohlenhydraten und Eiweiß","Zutaten (Allergene sind fett hervorgehoben): 
        	    	    Milcheiweiß¹, Glukosesirup, 17% Vollmilchschokolade (Zucker, Kakaobutter, Vollmilchpulver¹, Kakaomasse, Emulgator: Soja-Lecithine; Aroma), Fruktosesirup, Palmfett, Kollagenhydrolysat, Dextrose, 1% Kokosnusspulver, Aroma, Eiklarpulver. 
Kann Spuren von Gluten, Erdnüssen und anderen Schalenfrüchten enthalten.


¹Enthält Laktose.","60 g","Nährwertangabenpro 100 gBrennwert1699kJ403kcalFett10,7g   davon gesättigte Fettsäuren6,3gKohlenhydrate45g   davon Zucker28gEiweiß32gSalz0,08gpro 60 gBrennwert1019kJ242kcalFett6,4g   davon gesättigte Fettsäuren3,8gKohlenhydrate27g   davon Zucker17gEiweiß19gSalz0,05g","Kokos | 60 g Riegel"
"1578500574-401","https://www.weidershop.de/","Riegel","http://www.weidershop.de/Riegel-Getraenke/Riegel/","Details","http://www.weidershop.de/Riegel-Getraenke/Riegel/Weider-52-Protein-Bar.html","Weider
 52% Protein Bar Milchschokolade / 50 g Riegel","2,09","https://www.weidershop.de/out/pictures/generated/product/1/540_340_75/7000030637_1.jpg","Riegel mit Eiweiß und wenig Kohlenhydraten. Mit Schokoladenüberzug.","Zutaten (Allergene sind fett hervorgehoben): 
        	    	    Eiweißmischung (Calciumcaseinat¹, Milcheiweißisolat¹, Molkeneiweißkonzentrat¹, Eiklarpulver), Kollagenhydrolysat, Feuchthaltemittel: Glycerin; 16% Vollmilchschokolade (Süßungsmittel: Maltit; Kakaobutter, Vollmilchpulver¹, Kakaomasse, Emulgator: E322; Aroma), Wasser, Sojaeiweißisolat, Palmöl, 1,2% fettarmes Kakaopulver, Tapiokastärke, Aroma, Salz, Süßungsmittel: Sucralose. 
Kann Spuren von Gluten, Erdnüssen und anderen Schalenfrüchten enthalten.
Kann bei übermäßigem Verzehr abführend wirken.


¹Enthält Laktose.","50 g","Nährwertangabenpro 100 gBrennwert1512kJ359kcalFett8,3g   davon gesättigte Fettsäuren4,9gKohlenhydrate29g   davon mehrwertige Alkohole26g   davon Zucker2gEiweiß52gSalz0,66gpro 50 gBrennwert756kJ180kcalFett4,2g   davon gesättigte Fettsäuren2,5gKohlenhydrate15g   davon mehrwertige Alkohole13g   davon Zucker1gEiweiß26gSalz0,33g","Milchschokolade | 50 g Riegel"
"1578500862-510","https://www.weidershop.de/","Proteine / Eiweiß","http://www.weidershop.de/Inhaltsstoffe/Proteine-Eiweiss/","Details","http://www.weidershop.de/Inhaltsstoffe/Proteine-Eiweiss/Weider-CFM-Whey-Protein.html","Weider
 CFM Whey Protein Erdbeere / 908 g Dose","44,49","https://www.weidershop.de/out/pictures/generated/product/1/540_340_75/7000030361_1.jpg","Pulver zum Anrühren eines Proteingetränkes. Mit Vitamin B6 und Süßungsmitteln* (*Geschmack Vanille, Erdbeere und Schoko).","Zutaten (Allergene sind fett hervorgehoben): 
        	    	    97% Molkeneiweißisolat¹, Aroma, Farbstoff: Beetenrot; Emulgator: Soja-Lecithine; Süßungsmittel: Acesulfam-K, Natriumcyclamat, Saccharin-Natrium; Säuerungsmittel: Citronensäure; Vitamin B6. 
Kann Spuren von Gluten und Ei enthalten.


¹Enthält Laktose.","908 g = 30 Portionen","Nährwertangabenpro 100 g% NRVBrennwert1590kJ 374kcal Fett0,9g    davon gesättigte Fettsäuren0,5g Kohlenhydrate3,3g    davon Zucker2,2g Eiweiß87g Salz0,69g Vitamin B64,2mg300pro 30 g Pulver in 300 ml fettarme Milch (1,5% Fett)% NRVBrennwert1080kJ 256kcal Fett5,1g    davon gesättigte Fettsäuren3,4g Kohlenhydrate15g    davon Zucker15g Eiweiß36g Salz0,56g Vitamin B61,4mg100pro 30 g Pulver in 300 ml Wasser% NRVBrennwert477kJ 112kcal Fett0,3g    davon gesättigte Fettsäuren0,1g Kohlenhydrate1g    davon Zucker0,7g Eiweiß26g Salz0,21g Vitamin B61,26mg90Aminosäure­bilanz pro 100 g Protein% NRVL-Alanin4,7g L-Arginin2,2g L-Asparaginsäure10,9g L-Cystein2,2g L-Glutaminsäure14,1g L-Glycin1,7g L-Histidin1,9g L-Isoleucin7,5g L-Leucin11,1g L-Lysin7,9g L-Methionin2,3g L-Phenylalanin3,0g L-Prolin7,1g L-Serin4,9g L-Threonin7,3g L-Tryptophan1,8g L-Tyrosin2,8g L-Valin6,6g % NRV = Prozentsatz der Referenzmengen für die tägliche Zufuhr eines Erwachsenen","Erdbeere | 908 g Dose"
"1578500819-475","https://www.weidershop.de/","Proteine / Eiweiß","http://www.weidershop.de/Inhaltsstoffe/Proteine-Eiweiss/","Details","http://www.weidershop.de/Inhaltsstoffe/Proteine-Eiweiss/Weider-Protein-Low-Carb-RTD.html","Weider
 Protein Low Carb* RTD Milchschokolade / 330 ml","2,69","https://www.weidershop.de/out/pictures/generated/product/1/540_340_75/7000030343_1.jpg","Milchmischgetränk aus Magermilch mit Zusatz von Milcheiweiß und 
Süßungsmitteln. Ultrahocherhitzt.","Zutaten (Allergene sind fett hervorgehoben): 
        	    	    75% Magermilch¹, Wasser, Milcheiweiß¹ (5,8% Calciumcaseinat¹, 0,25% Milcheiweißisolat¹, 0,25% Molkeneiweißkonzentrat¹, 0,1% Molkeneiweißhydrolysat¹),
1,3% fettarmes Kakaopulver, Stabilisatoren: E460, E466, E452, E407; Salz, Süßungsmittel: Sucralose, Acesulfam-K. ¹ Enthält Laktose.","330 ml","Nährwertangabenpro 100 mlBrennwert237kJ57kcalFett0,3g   davon gesättigte Fettsäuren0,2gKohlenhydrate4,1g   davon Zucker3,9gEiweiß9,1gSalz0,24gpro 330 mlBrennwert782kJ188kcalFett0,9g   davon gesättigte Fettsäuren0,6gKohlenhydrate13g   davon Zucker13gEiweiß30gSalz0,78g","Milchschokolade | 330 ml"
"1578500508-356","https://www.weidershop.de/","Drinks","http://www.weidershop.de/Riegel-Getraenke/Drinks/","Details","http://www.weidershop.de/Riegel-Getraenke/Drinks/Weider-Fresh-Up-Konzentrat-1l.html","Weider
 Fresh Up Konzentrat 1 l Himbeere+L-Carnitine / 1 l Flasche","15,49","https://www.weidershop.de/out/pictures/generated/product/1/540_340_75/7000038153_1.jpg","Getränkekonzentrat zur Herstellung eines kalorienarmen Kaltgetränkes mit Vitaminen und Magnesium. Mit einer Zuckerart und Süßungsmitteln.","Zutaten (Allergene sind fett hervorgehoben): 
        	    	    Wasser, Säuerungsmittel: Citronensäure; Aroma, Süßungsmittel: Natriumcyclamat, Acesulfam-K, Saccharin- Natrium; Natriumchlorid, Fruktose, Magnesiumoxid, L-Carnitine, Farbstoff: E129; Verdickungsmittel: Xanthan; Konservierungsstoff: Kaliumsorbat; Vitamin E, Niacin, Emulgator: Mono- und Diglyceride von Speisefettsäuren; Vitamin B2, Vitamin B1, Vitamin B6, Chromchlorid, Natriumselenit, Vitamin K, Biotin, Vitamin D3. 
E129: Kann die Aktivität und Aufmerksamkeit bei Kindern beeinträchtigen.","1000 ml = 66 Portionen
   Kühl, trocken und dunkel lagern.","Nährwertangabenpro 100 ml% NRVBrennwert296kJ 69kcal Fett0g    davon gesättigte Fettsäuren0g Kohlenhydrate1,6g    davon Zucker1,1g Eiweiß0g Salz1,5g Biotin83,3µg167Chrom66,7µg167Magnesium400mg107Niacin26,7mg167Selen91,6µg167Vitamin B11,84mg167Vitamin B22,34mg167Vitamin B62,34mg167Vitamin D8,34µg167Vitamin E20mg167Vitamin K125µg167L-Carnitin330mg pro Portion (15 ml)% NRVBrennwert44kJ 10kcal Fett0g    davon gesättigte Fettsäuren0g Kohlenhydrate0,2g    davon Zucker0,2g Eiweiß0g Salz0,23g Biotin12,5µg25Chrom10µg25Magnesium60mg16Niacin4mg25Selen13,7µg25Vitamin B10,28mg25Vitamin B20,35mg25Vitamin B60,35mg25Vitamin D1,25µg25Vitamin E3mg25Vitamin K18,8µg25L-Carnitin50mg % NRV = Prozentsatz der Referenzmengen für die tägliche Zufuhr eines Erwachsenen","Himbeere+L-Carnitine | 1 l Flasche"
"1578500588-414","https://www.weidershop.de/","Riegel","http://www.weidershop.de/Riegel-Getraenke/Riegel/","Details","http://www.weidershop.de/Riegel-Getraenke/Riegel/Weider-32-Protein-Bar.html","Weider
 32% Protein Bar Weiße Schokolade - Banane / 60 g Riegel","1,99","https://www.weidershop.de/out/pictures/generated/product/1/540_340_75/7000030797_1.jpg","Riegel mit Kohlenhydraten und Eiweiß","Zutaten (Allergene sind fett hervorgehoben): 
        	    	    Glukosesirup, Milcheiweiß¹, 17% weiße Schokolade (Zucker, Vollmilchpulver¹, Kakaobutter, Emulgator: Soja-Lecithine; Aroma), Fruktosesirup, Palmfett, Kollagenhydrolysat, Dextrose, 0,4% Bananenflocken, Aroma, Salz, Eiklarpulver. 
Kann Spuren von Gluten, Erdnüssen und anderen Schalenfrüchten enthalten.


¹Enthält Laktose.","60 g","Nährwertangabenpro 100 gBrennwert1691kJ401gFett10,4g   davon gesättigte Fettsäuren6gKohlenhydrate45g   davon Zucker28gEiweiß32gSalz0,23gpro 60 gBrennwert1015kJ241kcalFett6,2g   davon gesättigte Fettsäuren3,6gKohlenhydrate27g   davon Zucker17gEiweiß19gSalz0,14g","Weiße Schokolade - Banane | 60 g Riegel"
"1578500541-377","https://www.weidershop.de/","Riegel","http://www.weidershop.de/Riegel-Getraenke/Riegel/","Details","http://www.weidershop.de/Riegel-Getraenke/Riegel/Weider-YIPPIE-Protein-Cookie-Bites.html","Weider
 YIPPIE! Protein Cookie Bites  Haferflocken-Schoko","1,99","https://www.weidershop.de/out/pictures/generated/product/1/540_340_75/7000032015_1.jpg","YIPPIE! Protein Cookie Bites sind kleine Cookies mit Molkeneiweiß, 
Schokoladenstückchen und Haferflocken.","Zutaten (Allergene sind fett hervorgehoben): 
        	    	    19% Molkeneiweißkonzentrat¹, Weizeneiweiß, Feuchthaltemittel: Glycerin; Süßungsmittel: Maltit, Acesulfam-K; resistentes Dextrin, 7% dunkle Schokoladentropfen (Süßungsmittel: Maltit, Kakaomasse, fettarmes Kakaopulver, Emulgatoren: Lecithine (Soja); Aroma), Butterreinfett, Emulgatoren: Lecithine (Soja); 4% Haferflocken, 3% fettarmes Kakaopulver, Kokosöl, Backtriebmittel: Natriumcarbonat; Aroma, Salz. ¹ Enthält Laktose. Im Herstellungsbetrieb werden auch Ei und Schalenfrüchte verarbeitet. Kreuzkontaminationen können daher nicht ausgeschlossen werden.","50 g Beutel","Nährwertangabenpro 100 gBrennwert1680kJ403kcalFett20g   davon gesättigte Fettsäuren10,9gKohlenhydrate29g   davon Zucker1,7gEiweiß30gSalz1,22gBallaststoffe9,2gpro 50 gBrennwert840kJ202kcalFett9,8g   davon gesättigte Fettsäuren5,4gKohlenhydrate15g   davon Zucker0,9gEiweiß15gSalz0,61gBallaststoffe4,6g","Haferflocken-Schoko"
"1578500725-448","https://www.weidershop.de/","Aminosäuren","http://www.weidershop.de/Inhaltsstoffe/Aminosaeuren/","Details","http://www.weidershop.de/Inhaltsstoffe/Aminosaeuren/Weider-Total-Rush-2-0.html","Weider
 Total Rush 2.0 Limette / 375 g Dose","36,99","https://www.weidershop.de/out/pictures/generated/product/1/540_340_75/7000031811_1.jpg","Nahrungsergänzungsmittel. Für Sportler. Zur Ausübung von Kraft- und 
Schnellkraftsportarten. Instantpulver zur Herstellung eines Getränkes mit 
Kreatin, freien Aminosäuren, Koffein, Körneramaranthextrakt, Ginkgoblattpulver, 
Vitaminen und Mineralstoffen. Mit Süßungsmitteln. Cranberry Geschmack.","Zutaten (Allergene sind fett hervorgehoben): 
        	    	    L-Citrullin Malat, L-Arginin Base, Kreatinmonohydrat, Beta-Alanin, Säuerungsmittel: Citronensäure; N-Acetyl-L-Tyrosin, Taurin, L-Glycin, Calciumcarbonat, Maltodextrin, Vitamin C, Körneramaranthextrakt (Amaranthus Hypochondriacus - Oxystorm®), L-Alanyl-L-Glutamin (Sustamine®), Koffein, Ginkgoblattpulver, Aroma, Trennmittel: Siliciumdioxid; Säureregulator: Kaliumphosphate; L-Theanin, Süßungsmittel: Acesulfam-K, Natriumcyclamat, Saccharin-Natrium, Sucralose; Sonnenblumenöl, Niacin, Zinkoxid, Vitamin B12, Vitamin B6, Vitamin D, Farbstoff: E141.

Kann Spuren von Milch, Laktose, Gluten, Soja und Ei enthalten.","375 g","Nährwertangabenpro 25 g Pulver in 300 ml Wasser% NRVCalcium220mg28Niacin16mg100Vitamin B60,7mg50Vitamin B121,25µg50Vitamin C200mg250Vitamin D1,25µg25Zink5mg50Ginkgo Biloba Extrakt120mg Koffein300mg Körneramaranthextrakt (Oxystorm®)/Inca Wheat Extract (Oxystorm®)300mg Kreatinmonohydrat3400mg    Kreatinmonohydrat - davon Kreatin3000mg N-Acetyl-L-Tyrosine1000mg Taurin1000mg pro 25 g Pulver in 300 ml Wasser% NRVBeta-Alanin3300mg L-Alanyl-L-Glutamin (Sustamine®)200mg L-Arginin4600mg L-Citrullin Malat6000mg L-Glycin1000mg L-Theanine50mg % NRV = Prozentsatz der Referenzmengen für die tägliche Zufuhr eines Erwachsenen","Limette | 375 g Dose"
